2609,2025,,,9,8,,,864,9,9,3579,,,136.1,285.5,4.96,,903,10,335.2,64,33,31,21,40,,952,10,293.1,76,42,35,21,40,,680,10,319,68,37,30,17,39,,654,10,291,61,30,21,16,37,1204,,,,,,,,9.32,93.3,86.7,85.5,94.18,90.64,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test,Year,Location,Date,MaxDays,BpO,Team-1,Team-2,SeriesNo,MatchNo,SeriesMats,Margin,FO,Result,RpW,BpW,RpO,I1-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I2-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I3-Team,Score,Wkts,Overs,Extras,Byes,Leg Byes,Wides,No Balls,I4-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,Grd-Id,City,Ground,Result,Series,Match,Toss,MOM,PQI_Base,PQI_Match,PQI_Inns12,PQI_Inns34,TPP-1,TPP-2,TQI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1885,Australia,21-Mar-1885,9,4,Australia,England,9,5,5,3098, ,England,22.5,57.3,2.35,Australia,163,10,70.4,9,5,1,0,3,England,386,10,147.5,28,10,14,0,4,Australia,125,10,68.1,5,5,0,0,0,England,0,0,0,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,England won by an innings and 98 runs,"The Ashes, 1884-85",5th Test,Australia,,3.1,51.1,51.1,0,20.15,79.85,6
22,1886,England,05-Jul-1886,3,4,England,Australia,10,1,3,1004, ,England,18.3,54.6,2.01,Australia,205,10,91.3,1,0,0,1,0,England,223,10,105,4,2,2,0,0,Australia,123,10,79.1,3,3,0,0,0,England,107,6,51.4,11,10,1,0,0,106,Manchester,"Old Trafford, Manchester",England won by 4 wickets,"The Ashes, 1886",1st Test,Australia,,2.54,42.4,50.3,33.1,44.37,55.63,7
23,1886,England,19-Jul-1886,3,4,England,Australia,10,2,3,3106,FO,England,20.0,60.4,1.99,England,353,10,172.4,29,24,4,0,1,Australia,121,10,55.1,5,4,1,0,0,Australia,126,10,74.1,13,13,0,0,0,England,0,0,0,0,0,0,0,0,101,Lord's,"Lord's, London",England won by an innings and 106 runs,"The Ashes, 1886",2nd Test,England,,3.02,50.2,50.2,0,80.89,19.11,6
24,1886,England,12-Aug-1886,3,4,England,Australia,10,3,3,3217,FO,England,21.7,61.6,2.11,England,434,10,202.5,7,3,2,0,2,Australia,68,10,40.2,4,4,0,0,0,Australia,149,10,64.4,8,7,1,0,0,England,0,0,0,0,0,0,0,0,104,Oval,"Kennington Oval, London",England won by an innings and 217 runs,"The Ashes, 1886",3rd Test,England,,3.22,52.3,52.3,0,86.11,13.89,6
25,1887,Australia,28-Jan-1887,9,4,Australia,England,11,1,2,2013, ,England,11.1,39.2,1.70,England,45,10,23.5,3,2,1,0,0,Australia,119,10,75.3,1,1,0,0,0,England,184,10,91,14,9,5,0,0,Australia,97,10,71.2,14,12,2,0,0,2,Sydney,Sydney Cricket Ground,England won by 13 runs,"The Ashes, 1886-87",1st Test,Australia,,1.86,31.1,23,39.2,53.93,46.07,9
26,1887,Australia,25-Feb-1887,9,4,Australia,England,11,2,2,2071, ,England,13.5,41.2,1.96,England,151,10,72.4,14,9,3,0,2,Australia,84,10,35.2,6,5,1,0,0,England,154,10,93.3,17,12,5,0,0,Australia,150,10,73.2,12,9,3,0,0,2,Sydney,Sydney Cricket Ground,England won by 71 runs,"The Ashes, 1886-87",2nd Test,England,,2.27,38,32.4,43.6,62.42,37.58,7
27,1888,Australia,10-Feb-1888,9,4,Australia,England,12,1,1,2126, ,England,9.4,28.2,1.99,England,113,10,66.4,4,4,0,0,0,Australia,42,10,25.1,7,6,0,1,0,England,137,10,50,12,7,5,0,0,Australia,82,10,46.2,3,2,1,0,0,2,Sydney,Sydney Cricket Ground,England won by 126 runs,"The Ashes, 1887-88",Only Test,Australia,,1.54,25.7,23.3,28.1,76.37,23.63,6
28,1888,England,16-Jul-1888,3,4,England,Australia,13,1,3,2061, ,Australia,7.3,19.8,2.20,Australia,116,10,47.4,5,5,0,0,0,England,53,10,33.2,1,0,1,0,0,Australia,60,10,19.4,4,3,1,0,0,England,62,10,31.2,0,0,0,0,0,101,Lord's,"Lord's, London",Australia won by 61 runs,"The Ashes, 1888",1st Test,Australia,,1.14,19.1,22.2,15.9,69.39,30.61,7
29,1888,England,13-Aug-1888,3,4,England,Australia,13,2,3,3137, ,England,16.6,39.8,2.50,Australia,80,10,60.3,2,1,1,0,0,England,317,10,92.2,12,6,4,2,0,Australia,100,10,46.2,1,0,1,0,0,England,0,0,0,0,0,0,0,0,104,Oval,"Kennington Oval, London",England won by an innings and 137 runs,"The Ashes, 1888",2nd Test,Australia,,2.38,39.8,39.8,0,15.81,84.19,6
30,1888,England,30-Aug-1888,3,4,England,Australia,13,3,3,3021,FO,England,10.8,26.3,2.46,England,172,10,75.3,2,2,0,0,0,Australia,81,10,35,2,2,0,0,0,Australia,70,10,20.5,3,2,1,0,0,England,0,0,0,0,0,0,0,0,106,Manchester,"Old Trafford, Manchester",England won by an innings and 21 runs,"The Ashes, 1888",3rd Test,England,,1.53,25.7,25.7,0,77.17,22.83,7
